iteration,mean_reward
1,7982.949700000002
2,9664.637600000002
3,9778.341800000002
4,9534.812900000003
5,9815.056200000003
6,9059.475600000003
7,6512.276300000002
8,8491.585600000002
9,8451.681300000002
10,8419.084000000003
11,9034.899100000002
12,8038.003900000003
13,10651.435000000003
14,9312.765100000002
15,9033.142500000002
16,8905.255100000002
17,8988.966700000003
18,9453.3165
19,9789.179700000002
20,10078.787900000001
21,7791.913700000001
22,8800.211700000003
23,10129.814700000003
24,7905.088100000003
25,10182.101600000002
26,8734.769300000004
27,8966.896000000002
28,7029.053400000002
29,7626.343200000003
30,8734.326000000003
31,10090.594000000001
32,9141.549600000004
33,10188.217800000002
34,8912.217400000001
35,10273.131600000002
36,8250.630700000002
37,9470.433300000002
38,6932.365400000002
39,8948.179800000002
40,11454.656200000001
41,10954.730000000003
42,8136.007900000001
43,11368.488200000003
44,9013.418400000002
45,8772.556600000004
46,8973.709900000002
47,9874.249500000004
48,9238.211800000003
49,8308.496100000002
50,7866.012100000002
51,8700.830600000003
52,8270.522100000002
53,10140.847300000001
54,9639.370600000002
55,10349.753000000002
56,8162.218900000003
57,8014.734300000002
58,8718.226400000003
59,9986.866100000001
60,9728.516500000003
61,9457.652600000003
62,9348.222600000003
63,10386.051600000003
64,7409.837800000001
65,9381.366800000003
66,8912.671300000004
67,8971.484300000004
68,7975.871200000002
69,10233.019700000003
70,9203.690200000003
71,8555.067100000004
72,9445.478600000002
73,10107.5611
74,9294.871900000004
75,10100.242800000002
76,9769.705200000002
77,9184.032800000003
78,9183.386200000003
79,10306.579700000002
80,8152.458800000002
81,8657.014100000002
82,8155.415800000003
83,11027.251500000004
84,8963.648100000002
85,8587.687400000003
86,8442.1836
87,9366.3348
88,10710.321800000002
89,9367.598200000002
90,9240.792300000003
91,8347.016000000001
92,9485.033400000004
93,8775.657200000001
94,8336.806800000002
95,9936.808000000003
96,9188.985600000004
97,10260.422000000002
98,9639.600200000003
99,9152.368100000003
100,10432.065700000003
101,10150.306300000002
102,7819.287500000002
103,8421.664600000002
104,9324.257200000002
105,8687.336300000003
106,11030.469900000004
107,9168.788800000004
108,10310.166600000002
109,9467.424000000003
110,9540.786100000003
111,9462.139300000003
112,9155.167000000001
113,9789.067400000002
114,8542.231500000002
115,11156.638400000003
116,10405.546100000001
117,9272.269800000002
118,8919.831
119,8585.449500000002
120,9643.411900000001
121,9746.741600000003
122,9210.846100000002
123,8262.148500000001
124,8688.6722
125,9879.512200000003
126,9119.257300000003
127,7564.986200000002
128,9862.302500000002
129,9296.2083
130,8906.653900000003
131,11837.511300000004
132,9183.788600000003
133,9405.2463
134,8578.434500000001
135,9566.0596
136,9840.608800000002
137,9833.9266
138,9745.428300000001
139,10130.423000000003
140,8742.213500000003
141,10967.624600000003
142,10047.880500000001
143,10249.554500000004
144,8990.539400000001
145,8502.294400000002
146,9245.859800000002
147,11217.197800000002
148,8847.366600000001
149,8827.249800000001
150,10752.153100000003
151,8712.8755
152,9611.850500000002
153,7719.644400000002
154,9045.214200000002
155,9217.178600000003
156,9374.388400000002
157,8409.858000000002
158,8783.788800000002
159,8868.086700000003
160,10075.057500000003
161,11271.816800000002
162,8395.266500000002
163,7797.633100000003
164,11084.565600000004
165,10086.355800000003
166,9224.254900000002
167,8309.270100000002
168,8172.849300000002
169,11561.147400000002
170,8960.381700000002
171,11868.806
172,9379.363900000002
173,7073.803700000001
174,9942.390700000002
175,9388.723400000003
176,8913.222500000002
177,6812.816000000001
178,10773.673000000003
179,9464.710100000002
180,9546.300100000002
181,9789.819700000004
182,9788.127700000003
183,8707.792400000002
184,7200.091700000002
185,7327.0120000000015
186,10052.009500000004
187,7456.596400000001
188,9962.194500000001
189,7940.808600000003
190,9191.119300000004
191,10414.568800000003
192,10366.025800000003
193,10739.677400000002
194,8341.947400000003
195,7977.2287000000015
196,9603.730200000002
197,9584.421300000002
198,8277.088600000003
199,11194.485
200,8867.895300000002
201,8842.5228
202,9311.6577
203,7867.059800000002
204,9941.960500000001
205,9132.013600000002
206,9205.462400000002
207,9117.213500000002
208,7813.366900000002
209,9469.418300000001
210,9858.024500000003
211,8650.4541
212,8982.216400000003
213,9315.794300000001
214,8747.831700000002
215,10113.999000000003
216,9633.971800000001
217,9710.921200000003
218,8831.231900000002
219,8633.651000000002
220,9013.820200000002
221,9265.473200000002
222,9820.140900000002
223,7992.353200000003
224,10923.991000000004
225,10957.273500000001
226,10707.274900000002
227,10400.641500000003
228,7161.670100000001
229,11757.039100000002
230,11453.315900000001
231,7593.4603000000025
232,9500.7834
233,11746.407600000002
234,7992.653900000002
235,7822.575200000003
236,7591.0030000000015
237,7259.934600000003
238,8584.0979
239,8773.042800000003
240,8696.032600000002
241,8263.692100000002
242,6475.107500000002
243,8528.627500000002
244,7221.998700000001
245,9779.637400000001
246,8726.150400000002
247,9324.225400000003
248,9879.629000000004
249,7784.338800000002
250,9048.273500000003
251,9388.384500000002
252,9166.360500000003
253,8586.092700000001
254,7315.954100000002
255,8321.171900000001
256,8973.596400000002
257,9397.538000000002
258,7053.024900000002
259,9506.840000000002
260,9328.158000000003
261,9755.794100000003
262,8695.367900000005
263,9370.084600000004
264,10673.613800000003
265,10093.342300000002
266,8611.984800000002
267,9868.365500000002
268,9198.118100000002
269,8402.351900000001
270,9986.912900000003
271,8979.503500000003
272,8881.520300000002
273,8238.122800000001
274,6558.009100000001
275,9954.214600000005
276,7055.289700000002
277,8837.035800000001
278,8610.165800000002
279,7698.382700000003
280,9806.764300000003
281,7810.901500000002
282,8194.263700000001
283,9517.233100000003
284,9880.679800000002
285,8358.803800000002
286,7721.964200000001
287,8025.249000000002
288,9424.7864
