iteration,mean_reward
1,12789.489624999998
2,11055.361199999996
3,12961.544874999996
4,10834.954699999997
5,11930.711299999997
6,11263.922374999996
7,12100.007999999996
8,10292.005849999998
9,10867.028499999997
10,8536.959474999998
11,11592.636374999996
12,10421.179175
13,10680.490025
14,11748.541749999997
15,10502.036624999997
16,9674.630724999997
17,10765.924174999995
18,11626.839624999999
19,11165.268474999997
20,10475.8188
21,8672.233099999998
22,10568.424049999998
23,11795.574574999999
24,10534.24815
25,12999.098849999998
26,9650.413474999998
27,12962.355899999997
28,10807.276599999997
29,9848.254849999998
30,10516.831274999997
31,10072.915775
32,11382.497699999998
33,11283.708199999995
34,10973.571024999996
35,9966.670399999997
36,11954.904374999995
37,11520.893049999997
38,10703.740949999998
39,11089.256099999997
40,12989.313299999996
41,11120.945725
42,10763.361724999999
43,12291.325399999998
44,12875.798949999995
45,12474.792499999996
46,9599.655074999999
47,9201.8365
48,10033.034949999997
49,9686.296099999998
50,11561.739024999995
51,10854.430874999996
52,11817.593149999997
53,10363.943374999997
54,13265.513349999996
55,9977.794424999998
56,11851.649599999995
57,10544.568099999997
58,11178.822874999996
59,11597.028999999997
60,14216.197099999996
61,11419.980924999998
62,9589.871174999998
63,12036.126774999997
64,11773.184324999997
65,12300.264424999996
66,10826.524249999999
67,11284.632899999999
68,12402.222824999997
69,11849.543724999996
70,10326.626649999997
71,9239.211124999998
72,11282.265249999997
73,13370.230174999997
74,11467.452399999998
75,10971.512199999997
76,10846.369624999998
77,11297.202574999998
78,10439.781349999997
79,12271.679899999997
80,9912.665049999996
81,11299.120024999995
82,10702.476999999997
83,9587.978849999998
84,10787.859499999997
85,10614.128424999995
86,9843.648674999997
87,9064.56525
88,8928.215049999999
89,9996.640924999998
90,11250.480699999998
91,11946.682274999997
92,10378.805474999997
93,12935.657449999997
94,11483.397799999999
95,11100.338849999998
96,12787.413349999999
97,9883.691399999996
98,10151.082249999998
99,12285.639224999999
100,11512.104724999997
101,12280.131099999997
102,12090.497899999995
103,10112.383424999998
104,9510.440399999998
105,11087.040799999995
106,10020.736599999998
107,9208.602199999998
108,11775.074999999997
109,10094.182399999996
110,10968.313474999997
111,10676.11815
112,8201.937999999998
113,8976.890449999999
114,12253.401874999998
115,10566.793499999996
116,11582.304274999997
117,10144.674424999997
118,10122.999224999998
119,10501.951724999997
120,7941.893824999998
121,10164.695374999996
122,10191.519524999996
123,11177.172274999997
124,13152.472324999997
125,9747.411124999999
126,11620.238649999998
127,11595.015574999996
128,9931.035049999997
129,10513.987474999996
130,12716.595324999997
131,11395.944324999997
132,10150.991924999997
133,10072.181625
134,9495.412749999996
135,12911.361674999998
136,10782.991075
137,11192.354874999997
138,10869.841049999995
139,12453.065299999998
140,11142.875749999997
141,11577.617325
142,9581.595549999996
143,11823.118724999997
144,10942.766599999997
145,11134.698699999997
146,10198.330624999999
147,10488.622424999998
148,9970.039749999996
149,11281.769174999998
150,11056.930074999998
151,12373.609049999997
152,8991.300924999998
153,10818.203699999996
154,11552.88785
155,9555.533849999996
156,11182.264149999995
157,11207.015324999997
158,11985.141974999999
159,10906.587649999996
160,9521.536474999997
161,10131.763849999998
162,10484.269649999998
163,10919.670499999998
164,11243.567599999995
165,11723.591649999998
166,13206.364949999996
167,10564.379625
168,10508.923424999997
169,11590.244549999996
170,11883.092899999998
171,10063.207699999997
172,10526.832724999997
173,9728.087999999996
174,11205.5396
175,10185.189049999997
176,10332.692399999998
177,9527.124074999998
178,9548.273249999997
179,10560.336849999998
180,10222.237399999998
181,10747.998249999997
182,11035.281874999997
183,10564.460399999996
184,9917.943474999996
185,8689.747024999999
186,9730.770599999998
187,12985.523574999997
188,9056.730875
189,10312.217824999998
190,9638.410974999997
191,12359.186549999999
192,11049.513474999996
193,11856.041524999999
194,10929.825599999998
195,10144.682799999999
196,12530.391024999997
197,11643.720924999998
198,11527.37375
199,9173.38345
200,11007.847274999996
201,13043.345774999996
202,9815.422374999996
203,9945.683599999997
204,8819.252874999998
205,9943.675949999997
206,11477.2567
207,9584.658199999998
208,10628.074424999993
209,13411.467749999994
210,11692.534175
211,10092.215549999997
212,9316.394175
213,8810.572674999998
214,11800.503024999998
215,11090.639499999997
216,9755.500199999999
217,9118.300099999999
218,9501.811499999996
219,11224.913424999995
220,10527.835249999998
221,11247.998674999997
222,12018.984524999996
223,10695.826849999998
224,11621.106399999997
225,11191.591599999996
226,9615.992899999997
227,12336.996874999997
228,10423.711199999996
229,10154.793324999997
230,11573.685749999997
231,11793.612674999998
232,10218.305824999998
233,9215.310599999999
234,9569.88525
235,13536.906649999995
236,10952.067274999998
237,9815.929649999998
238,10347.120799999997
239,9090.390649999998
240,10070.196499999998
241,10635.384549999995
242,11627.611274999996
243,9817.003399999996
244,10132.871324999998
245,10985.287224999996
246,11260.840974999997
247,12013.704099999997
248,11076.154499999997
249,11087.848649999998
250,11734.884999999998
251,9999.402649999998
252,12103.133849999995
253,11049.845999999996
254,11631.383899999997
255,10060.090099999998
256,10674.209549999998
257,11880.780199999997
258,8955.674299999999
259,8864.074874999998
260,11974.267349999996
261,13703.939824999994
262,9328.732499999998
263,12526.140249999997
264,9988.001049999997
265,12810.524774999998
266,11951.395174999996
267,10909.445124999997
268,11726.825749999996
269,9580.956799999996
270,11601.404649999999
271,10125.814599999998
272,10346.80655
273,9397.245374999997
274,11283.594524999997
275,11289.953649999998
276,10703.106199999997
277,7689.704549999999
278,9957.3136
279,10040.137424999997
280,9158.187999999998
281,11473.083274999997
282,10618.092899999998
283,12159.900575
284,12396.613174999999
285,11331.630349999998
286,12187.232949999998
287,10435.842699999997
288,9615.262874999997
289,9850.564949999998
290,10012.649524999999
291,13101.793399999999
292,10641.487799999997
293,9194.302924999996
294,11344.985824999996
295,10133.848024999998
296,12515.643424999998
297,10422.612924999998
298,9868.285824999995
299,11122.196824999997
300,9520.166399999998
301,12176.130974999996
302,10400.201449999999
303,10108.392299999998
304,8586.861449999999
305,10134.808924999998
306,10518.598724999996
307,10872.440874999998
308,9530.077649999997
309,10659.210199999998
310,11905.431499999999
311,11312.4867
312,12346.561449999996
313,9865.423749999998
314,11314.797274999997
315,10429.935074999998
316,10708.050449999999
317,12478.622674999997
318,10183.447774999999
319,10784.949199999997
320,10766.883899999997
321,9894.592674999998
322,10670.035299999998
323,9139.999949999996
324,10661.030599999996
325,10383.996399999996
326,10585.594124999998
327,10482.678249999999
328,8695.101149999997
329,13195.741249999995
330,10091.337424999998
331,11624.751674999998
332,9665.792399999998
333,9560.398499999998
334,11989.155149999997
335,9700.273699999998
336,13591.668324999995
337,10988.322399999997
338,11532.614674999997
339,10799.525699999998
340,10625.301024999999
341,10598.928499999998
342,10742.687049999999
343,10687.5142
344,11773.975899999998
345,10689.516075
346,10952.123874999997
347,10091.588349999998
348,10440.904625
349,11060.616274999997
350,9864.632999999996
351,10669.671999999997
352,12195.299624999996
353,11471.244249999998
354,11618.824124999996
355,9109.853849999998
356,9184.008324999997
357,9113.930699999999
358,11387.863849999998
359,9883.392949999998
360,11545.316774999998
361,11014.920499999997
362,10784.309149999995
363,9158.874399999997
364,11299.490749999997
365,12276.909974999995
366,12416.316925
367,9294.670974999997
368,8660.179424999998
369,11677.036274999995
370,12103.426049999998
371,11934.821049999995
372,11870.825324999998
373,9476.004024999997
