iteration,mean_reward
1,10065.834649999997
2,10997.263074999999
3,11219.477824999998
4,12059.158374999999
5,10415.943674999997
6,11853.836249999995
7,9909.922549999997
8,9893.835999999996
9,12357.141874999996
10,11620.703949999996
11,13770.733949999996
12,10705.088499999998
13,11802.008224999998
14,12960.108999999995
15,9716.634049999999
16,11178.0688
17,10103.124724999996
18,10561.565899999998
19,11022.657599999999
20,10851.629649999995
21,11211.664074999997
22,11612.226099999998
23,10439.584074999997
24,8542.445549999999
25,12358.028724999996
26,12357.750799999996
27,9925.696724999998
28,9734.851699999997
29,8839.5014
30,12076.472899999995
31,8048.318199999998
32,11257.891174999997
33,12726.067449999997
34,10562.321275
35,11015.079099999997
36,11094.212374999997
37,10632.740624999999
38,9446.262024999998
39,11808.665799999999
40,11409.611225
41,10431.032174999995
42,10636.400874999998
43,9712.870974999998
44,11683.914349999995
45,12015.428274999997
46,9086.076425
47,10807.246649999995
48,10885.009374999998
49,9541.202849999998
50,12922.928349999996
51,11081.544349999998
52,10863.378624999998
53,11150.893724999996
54,10772.702374999999
55,11797.851424999999
56,9316.836124999996
57,11274.417899999995
58,10171.913049999997
59,8474.911149999998
60,10558.613974999997
61,10724.132274999996
62,10685.867499999995
63,13226.199825
64,11077.045124999997
65,9736.728224999997
66,9098.676649999998
67,10321.788999999997
68,10427.192449999997
69,8436.102299999999
70,11747.795574999996
71,10050.965474999999
72,10984.910949999998
73,10346.608924999999
74,9746.748424999998
75,10970.736074999995
76,11429.194225
77,10673.174949999997
78,11755.925574999996
79,11143.042599999997
80,9892.860949999997
81,11367.927924999998
82,10699.691099999998
83,10528.687199999997
84,8917.229225
85,10113.873299999997
86,12242.106874999996
87,11821.751124999999
88,11860.83295
89,11588.991449999996
90,10452.340649999996
91,11956.425849999994
92,11286.410024999997
93,10387.545099999998
94,10231.766599999999
95,11603.977474999996
96,10839.050299999997
97,8839.061924999998
98,12778.688224999998
99,9597.02105
100,12175.196724999998
101,13265.185424999998
102,10203.402574999996
103,10677.935124999996
104,11226.859049999997
105,10779.7815
106,11469.899999999998
107,10776.81755
108,12237.133149999994
109,10729.389824999995
110,10908.758849999998
111,9681.924574999997
112,11344.418524999995
113,10053.465074999998
114,10734.164149999999
115,9642.618124999997
116,11796.706924999999
117,10704.105199999996
118,12001.257524999997
119,12370.144774999995
120,12312.453349999994
121,10973.872774999996
122,9952.0261
123,10691.837499999998
124,10684.925224999995
125,10021.555649999997
126,9049.936749999999
127,11394.341249999998
128,13282.792624999996
129,10605.354599999997
130,11429.608349999997
131,10746.923674999996
132,10489.727424999997
133,8907.822899999997
134,12379.709349999997
135,8348.902824999997
136,11600.382074999998
137,10814.240049999999
138,10671.653824999998
139,13015.318399999998
140,11846.069549999997
141,11061.927149999996
142,10510.917399999998
143,11534.459599999996
144,9331.916249999998
145,9510.861249999998
146,9094.09205
147,10446.450949999997
148,10271.489649999998
149,10877.430399999997
150,12388.344624999996
151,10395.472399999997
152,10061.75355
153,11448.69045
154,12178.453699999996
155,10059.332724999997
156,12052.809974999996
157,10446.818024999997
158,9917.584299999999
159,12049.715724999998
160,11170.429449999998
161,11740.787199999997
162,9339.936699999998
163,11731.249624999997
164,9838.967849999999
165,13039.951424999996
